State,CountyName,Tract_FIPS,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
AL,Lowndes,1085980800,No,3949,13.3,527,2.9,111,1.2,17,3.4,135,1.8,72
AL,Lowndes,1085981000,No,3661,32.7,1197,7,254,3.9,54,8.6,314,4.9,179
AL,Lowndes,1085981100,No,2274,28.2,641,9,204,4.2,32,8.4,192,4.6,105
AL,Macon,1087981800,Yes,1582,64.9,1027,31.8,555,16.9,113,23.7,374,7.1,112
AL,Macon,1087981900,Yes,2089,39.2,819,16.4,341,9.1,87,10,209,5.2,110
AL,Macon,1087982100,Yes,2023,100,2023,30.3,616,12.3,103,28.6,578,14.4,291
AL,Macon,1087982200,No,2206,25.9,571,10.2,226,4.6,37,7.7,171,3.1,69
AL,Macon,1087982300,No,2173,33.8,735,13.6,287,7.4,59,10.4,225,4.7,103
AL,Madison,1089000100,Yes,2651,41.2,1092,9.3,181,4.2,44,7.3,193,2.9,76
AL,Madison,1089000202,Yes,3541,57.5,2035,9.6,186,3.3,25,6,211,3.6,129
AL,Madison,1089000301,Yes,3795,100,3795,15.6,592,8.9,127,27.1,1029,14.1,535
AL,Madison,1089000302,Yes,3867,53.2,2055,11,423,3.7,53,16.7,644,4.2,162
AL,Madison,1089001200,Yes,3246,57.7,1872,33.4,1071,22,279,26,844,4.4,142
AL,Madison,1089001300,Yes,5482,39.4,2161,9.2,503,4.3,115,7.8,425,2.9,158
AL,Madison,1089001600,Yes,581,64.9,377,47.7,223,31.3,61,22.1,129,17,99
AL,Madison,1089002100,Yes,3531,47,1660,20,697,14.7,226,13.5,477,6.7,235
AL,Madison,1089002300,Yes,5100,77.3,3942,12.8,650,5.6,127,19.2,978,10.9,554
AL,Madison,1089002400,Yes,4355,100,4355,23.5,1021,4.9,98,23.4,1021,9.2,400
AL,Madison,1089002501,Yes,2814,51.3,1442,14.3,379,10.8,160,10.2,286,2.9,83
AL,Madison,1089002502,Yes,2755,100,2755,16.7,451,6,87,18.5,509,8.6,237
AL,Madison,1089010622,Yes,6013,40.3,2426,8.5,419,3.5,89,7.1,428,2.5,148
AL,Marengo,1091983100,No,2202,32,705,10.3,226,5.6,47,7.2,158,5.8,127
AL,Marengo,1091983200,No,2482,78.1,1938,23.2,571,9.6,91,23.4,580,10.5,262
AL,Mobile,1097000402,Yes,2092,100,2092,80.6,1575,65.6,439,53.6,1121,3.7,78
AL,Mobile,1097001200,Yes,3601,32.7,1176,20.9,525,18.3,156,12.1,435,1.7,62
AL,Mobile,1097001302,Yes,3669,89.2,3272,33.2,1213,17.6,215,30.2,1109,8.9,326
AL,Mobile,1097001501,Yes,2224,100,2224,57.1,1241,32.3,304,36.8,818,15,333
AL,Mobile,1097001502,Yes,1784,100,1784,73.1,1298,37.4,225,47.6,849,5.7,101
AL,Mobile,1097001600,Yes,685,78.8,540,38.3,269,13.3,28,30.9,211,3.2,22
AL,Mobile,1097001800,Yes,3178,100,3178,24.4,776,8.7,104,29.4,933,11.2,357
AL,Mobile,1097002600,Yes,3157,27.7,875,10.5,326,2.5,33,7.8,247,2.9,91
AL,Mobile,1097003204,Yes,3474,15.9,552,3.7,128,0.9,16,2.3,82,1.2,42
AL,Mobile,1097003404,Yes,2655,100,2655,20.9,593,15.2,157,32.3,857,8.2,219
AL,Mobile,1097003602,Yes,1672,100,1672,16.7,276,9.3,65,23.9,399,9.9,166
AL,Mobile,1097003606,Yes,3047,65.6,1999,19.4,594,2.9,40,11.5,349,5.7,175
AL,Mobile,1097003607,Yes,3436,100,3436,23.9,818,8.7,144,20.7,710,11.4,393
AL,Mobile,1097003902,Yes,1678,40.3,676,13.2,205,7.6,41,12.2,205,9.3,155
AL,Mobile,1097005100,Yes,1567,100,1567,20.6,317,2.3,14,27.7,434,15.4,242
AL,Mobile,1097005200,Yes,1529,43.6,667,4.3,65,4.9,35,7.3,112,12.1,185
AL,Monroe,1099985600,No,1613,100,1613,33.2,536,19,121,27.4,442,17.7,285
AL,Monroe,1099985700,No,2103,90.4,1901,21.6,454,13.6,105,26.9,566,13,274
AL,Montgomery,1101000100,Yes,1677,46,771,25.2,385,32.6,196,20.4,341,1.9,33
AL,Montgomery,1101000200,Yes,2131,100,2131,37.2,498,30.1,201,16.3,348,18.6,397
AL,Montgomery,1101000400,Yes,5143,39.4,2029,10,492,3.3,66,9.8,506,6.8,349
AL,Montgomery,1101001000,Yes,4024,49,1971,31.1,1248,17.6,259,20.5,824,2.1,84
AL,Montgomery,1101001100,Yes,4113,21.5,885,10.5,425,8.3,141,8.5,349,1.5,60
AL,Montgomery,1101002400,Yes,2597,60.5,1571,22.4,599,14.7,145,22.6,587,7.8,202
AL,Montgomery,1101002500,Yes,2772,61,1691,13.9,384,3.2,34,15.6,433,8.2,228
AL,Montgomery,1101003000,Yes,3515,87.6,3080,38.2,1344,26.3,322,34.3,1205,6.6,233
AL,Montgomery,1101005102,Yes,4482,67.4,3020,14.4,636,4.9,81,18.1,810,9.6,429
AL,Montgomery,1101005603,Yes,7428,59.1,4388,16.2,1182,5.8,156,22.2,1651,3,224
AL,Montgomery,1101005800,No,2638,99.5,2624,24.1,621,9.6,101,22.5,593,15.7,415
AL,Montgomery,1101005902,Yes,3973,27.6,1096,5.4,214,1.5,20,7.3,292,2.2,87
AL,Montgomery,1101006100,Yes,2474,97.1,2403,27.3,664,8.4,68,27.6,684,11.1,275
AL,Morgan,1103000100,Yes,4462,37.1,1656,11.2,468,7.3,129,11,492,5,223
AL,Morgan,1103000400,Yes,4422,38.9,1720,10,420,9.4,183,7.1,314,9.7,427
AL,Perry,1105986800,No,1334,35.1,468,7.2,99,2.8,15,7.9,105,6.1,81
AL,Pickens,1107050400,No,6156,8.8,545,2.1,126,1.4,32,2.6,162,1.4,86
AL,Russell,1113030600,Yes,5376,40.6,2180,9.1,461,4.4,88,12.9,693,3.9,210
AL,Russell,1113031100,No,2423,100,2423,29.8,722,20.7,212,26.6,645,15.6,378
AL,Russell,1113031200,No,4714,37.3,1757,7,329,3.2,57,10.7,505,5.3,250
AL,Sumter,1119991100,No,1021,99.9,1020,39,395,19.1,71,31.1,318,17.4,178
AL,Sumter,1119991200,No,899,99.5,894,41.7,371,20.9,71,33.9,304,13.4,121
AL,Tuscaloosa,1125011200,Yes,1948,31,603,18.5,194,17.8,112,0.8,16,8.8,171
AL,Tuscaloosa,1125012304,Yes,2923,45.1,1319,7.2,212,3.2,46,11.5,338,3.2,94
AL,Tuscaloosa,1125012405,Yes,5569,23.6,1312,6.6,375,3.1,75,7.3,405,2.6,144
AL,Tuscaloosa,1125012600,Yes,1493,44.5,664,22.4,335,2.8,16,3.2,48,1.7,26
AL,Wilcox,1131994700,No,1684,67.8,1142,30.9,531,18,103,23.7,399,7.3,123
AL,Wilcox,1131994900,No,1190,99.9,1189,41.4,482,17.5,82,27,322,17.8,211
AL,Wilcox,1131995000,No,1010,56.8,574,21.8,212,9.1,35,15.2,154,8.4,85
AL,Wilcox,1131995100,No,4160,68,2827,27.6,1155,14.5,215,22.7,945,7.8,325
AZ,Apache,4001942600,No,1809,100,1809,41.2,746,12,54,42.4,767,9.3,169
AZ,Apache,4001942700,No,5657,100,5657,48.3,2727,19.1,304,39.8,2251,9.1,517
AZ,Apache,4001944000,No,5830,20.7,1208,10,578,5.1,83,8.1,471,1.9,113
AZ,Apache,4001944100,No,5207,99.9,5203,59.8,3041,22.1,300,41.1,2142,7.1,368
AZ,Apache,4001944200,No,8839,18.8,1665,9.3,802,3.8,83,7.9,695,1.4,122
AZ,Apache,4001944300,No,6881,94.5,6499,47.4,3262,25.5,507,38.5,2647,7.1,485
AZ,Apache,4001944900,No,9777,99.7,9750,37.7,3653,23,630,39.1,3822,9,877
AZ,Apache,4001945000,No,9027,36,3251,15.2,1365,10.8,269,14.7,1328,2.7,240
AZ,Apache,4001945100,No,2007,100,2007,35.6,704,19,105,42.2,847,6.8,136
AZ,Apache,4001970200,No,3466,67.7,2348,17,585,3.4,42,16.6,575,11.1,384
AZ,Cochise,4003000100,No,2274,97.6,2220,22.9,520,4.3,41,22.5,511,19.7,449
AZ,Cochise,4003000200,No,9916,34,3369,6.2,612,2.4,94,6.8,678,8.7,858
AZ,Cochise,4003000300,No,11012,6.4,704,0.9,102,0.3,13,1.4,150,1.4,150
AZ,Cochise,4003000400,No,2200,96.8,2130,17.1,374,8.1,82,18.1,398,21.7,477
AZ,Cochise,4003000500,No,5229,61.9,3236,18.4,597,5.2,69,15,783,11.6,609
AZ,Cochise,4003001300,No,4876,22.5,1097,4,195,0.7,13,6.6,320,2.8,136
AZ,Cochise,4003001400,Yes,8428,89.9,7575,8.1,498,1.9,35,28.3,2388,0.4,35
AZ,Cochise,4003001500,Yes,7627,100,7627,23.8,1795,12.2,390,27.6,2103,11.6,882
AZ,Coconino,4005001100,Yes,8669,26.9,2333,3.5,295,0.5,17,8.6,749,1.5,129
AZ,Coconino,4005001800,No,553,100,553,37.1,196,8.4,17,33.8,187,3.8,21
AZ,Coconino,4005941100,No,87,100,87,100,34,0,0,31,27,24.1,21
AZ,Coconino,4005942200,No,8254,75.4,6220,27.9,2328,14.5,290,33.1,2733,6.1,506
AZ,Coconino,4005944500,No,7639,68.6,5240,27.3,2068,12.8,246,27.4,2092,6.1,466
AZ,Coconino,4005944600,Yes,7323,65.1,4769,17.4,1255,5.3,97,27.6,2018,2.9,214
AZ,Gila,4007000600,No,1497,75.8,1135,12.3,176,2.2,15,15.2,228,16.7,250
AZ,Gila,4007000700,No,1043,100,1043,16.9,172,3.1,17,11.1,116,32.9,343
AZ,Gila,4007000800,No,1528,36.7,560,4.6,70,1.5,11,3.8,58,13,199
AZ,Gila,4007940400,No,4784,93.1,4452,50.2,2368,26.7,321,38.6,1848,5.1,245
AZ,Graham,4009940500,No,4601,100,4601,48.4,2218,26.7,275,45.8,2105,3.6,166
AZ,Graham,4009991100,No,3884,15.3,595,3.7,143,1.3,16,4.5,174,2.4,93
AZ,La Paz,4012020100,No,2666,99.8,2661,26,690,3.8,45,19.1,508,32.2,859
AZ,La Paz,4012020500,No,4730,100,4730,14.1,669,3.5,89,6.8,321,52.5,2481
AZ,La Paz,4012940300,No,4326,20.4,882,6,243,1.2,16,7,302,1.7,75
AZ,Maricopa,4013050603,No,2196,99.5,2184,25.8,561,7,51,31.3,688,10.3,226
AZ,Maricopa,4013050700,Yes,5726,21.9,1253,5.1,291,2.1,39,8.1,463,1.7,95
AZ,Maricopa,4013060800,Yes,6668,29.3,1954,6.5,428,2.6,45,7.9,530,6.2,410
AZ,Maricopa,4013060900,Yes,6988,32.7,2286,4.7,324,1.2,22,11.8,825,0.8,59
AZ,Maricopa,4013061400,Yes,5995,33.5,2007,11.6,693,3.3,54,14.2,851,1,61
AZ,Maricopa,4013071505,Yes,5192,31,1611,1.1,57,1.9,60,0,0,25.3,1312
AZ,Maricopa,4013071600,Yes,2775,46.8,1298,6.2,172,3.3,52,4.6,129,22.1,614
AZ,Maricopa,4013071801,Yes,5028,52.5,2638,3.5,172,6.1,181,1,51,38.4,1931
AZ,Maricopa,4013071802,Yes,3570,23.4,836,1.3,48,2.3,51,0.2,8,16.3,582
AZ,Maricopa,4013092310,Yes,3084,100,3084,19.2,606,8.7,109,30.8,950,4,124
AZ,Maricopa,4013092705,Yes,2471,50.7,1253,17.7,432,5.6,46,18.4,454,1.2,30
AZ,Maricopa,4013093104,Yes,3885,93.8,3646,23.8,862,16,227,28.9,1124,11.4,444
AZ,Maricopa,4013103306,Yes,3920,30,1176,8.2,321,4.9,63,9.5,371,1.9,76
AZ,Maricopa,4013103615,Yes,5373,14.6,784,3.2,174,4.6,78,3.4,184,1.7,92
AZ,Maricopa,4013105601,Yes,3613,46,1663,6,216,3.6,42,14.4,522,4.4,159
AZ,Maricopa,4013110600,Yes,5728,100,5728,19.4,1083,13.1,306,24.5,1404,8.8,503
AZ,Maricopa,4013111700,Yes,6801,45,3060,9.7,635,4.1,98,11.9,812,3.5,238
AZ,Maricopa,4013112100,Yes,4204,100,4204,33.2,1384,17.4,167,38.9,1636,5,209
AZ,Maricopa,4013112201,Yes,4734,19.6,928,5.4,256,2.2,24,7.1,337,0.8,40
AZ,Maricopa,4013112505,Yes,6867,100,6867,18.6,1272,10.7,211,37.4,2567,2.1,147
AZ,Maricopa,4013112508,Yes,2074,57.6,1195,9.7,203,3.4,23,17.5,364,10.8,224
AZ,Maricopa,4013112900,Yes,6255,74.4,4653,28.9,1764,17.9,327,21.4,1338,3.9,243
AZ,Maricopa,4013113100,Yes,2381,71.7,1708,25.8,608,32.6,423,8.7,206,9.7,231
AZ,Maricopa,4013113800,Yes,2319,96.8,2244,35.6,855,25.1,193,29.3,679,4.8,110
AZ,Maricopa,4013114100,Yes,1929,100,1929,39,112,58.6,146,9,173,1.7,32
AZ,Maricopa,4013114200,Yes,2056,100,2056,56,1118,37.4,182,35.3,726,6.5,134
AZ,Maricopa,4013114301,Yes,1401,92.9,1301,48.3,637,22.1,70,12.3,173,3.9,54
AZ,Maricopa,4013114302,Yes,2829,100,2829,70.1,2024,50.1,435,44.3,1253,5.8,164
AZ,Maricopa,4013114600,Yes,2109,78.9,1664,28.5,593,12,55,32.8,692,3,63
AZ,Maricopa,4013114701,Yes,947,100,947,52.6,480,10,21,40.4,383,4.6,44
AZ,Maricopa,4013114702,Yes,862,100,862,77.3,631,65.5,163,56.8,490,3.6,31
AZ,Maricopa,4013114703,Yes,6838,100,6838,46.3,754,13.5,46,13.6,933,1.3,92
AZ,Maricopa,4013114800,Yes,3216,88.9,2861,48,1530,20.9,163,30.2,970,9,289
AZ,Maricopa,4013114900,Yes,2906,92.3,2683,52.9,1536,49.8,470,32.2,935,11.5,335
AZ,Maricopa,4013115200,Yes,3113,100,3113,49.1,1474,22.5,170,41.2,1283,3,93
AZ,Maricopa,4013115300,Yes,2394,79.4,1900,29.6,698,8.8,56,27.6,661,7.5,181
AZ,Maricopa,4013115500,Yes,3979,47.8,1902,12.4,492,2,19,18.1,720,3,118
AZ,Maricopa,4013115600,Yes,2672,100,2672,27.1,704,6.4,39,38.6,1032,5.5,148
AZ,Maricopa,4013115700,Yes,5194,32.2,1673,8,413,1.6,19,11.8,612,2.1,109
AZ,Maricopa,4013116000,Yes,4711,30.1,1418,9.7,455,10.5,149,10.5,495,4.4,205
AZ,Maricopa,4013116100,Yes,3987,100,3987,52.7,2076,20.3,190,35.8,1428,4.3,171
AZ,Maricopa,4013116203,Yes,2120,71.1,1507,19.8,390,1,8,22.9,485,2.4,52
AZ,Maricopa,4013116602,Yes,3369,26.2,882,9.5,318,2.6,21,10.3,348,1.2,42
AZ,Maricopa,4013116702,Yes,7436,39.7,2952,7.5,550,1.5,32,13.1,975,2.9,213
AZ,Maricopa,4013116703,Yes,3063,24.4,747,5.8,165,1.4,11,8.4,257,3.9,118
AZ,Maricopa,4013319200,Yes,9321,19.3,1801,5.2,480,1.3,53,4.5,422,1,96
AZ,Maricopa,4013319300,Yes,1902,53.9,1024,6.2,118,3.3,23,15.9,303,4.5,86
AZ,Maricopa,4013420103,Yes,4254,70.7,3008,11.2,472,4.8,87,19.1,811,10.6,450
AZ,Maricopa,4013422104,Yes,6317,100,6317,9.8,618,13.2,346,26.2,1653,4.4,280
AZ,Maricopa,4013422604,Yes,5354,36.1,1931,3.1,163,1.1,27,7.2,384,12,641
AZ,Maricopa,4013422610,Yes,3088,100,3088,3,92,2.4,42,3.6,110,74.5,2301
AZ,Maricopa,4013422611,Yes,9750,34,3311,2.1,204,1.4,55,7.8,760,8.2,803
AZ,Maricopa,4013523102,Yes,5595,57.9,3237,15,825,6.8,112,21.4,1199,2.3,131
AZ,Maricopa,4013723302,No,5417,10.7,580,2.4,128,0.8,13,3.4,182,0.9,49
AZ,Maricopa,4013940700,No,143,100,143,71.6,126,33.3,9,37.1,53,5.6,8
AZ,Mohave,4015940400,No,1323,37.2,492,13.5,172,9.2,31,16.3,215,1.1,15
AZ,Mohave,4015950100,No,6221,78.9,4908,23.8,1477,3.1,42,44.5,2768,2.2,139
AZ,Mohave,4015950400,No,4550,98.7,4491,17.4,789,4.9,105,14.5,658,30.8,1399
AZ,Mohave,4015950500,No,934,74.4,695,20.1,185,7.2,34,9.1,85,18.4,172
AZ,Mohave,4015950600,No,6513,49.8,3241,8.3,537,3.4,89,11.5,751,8.3,541
AZ,Mohave,4015950702,Yes,7332,97,7114,21.6,1574,5.5,157,26.1,1910,16.1,1182
AZ,Mohave,4015951500,Yes,7011,42.4,2976,4.3,297,3.4,105,7,493,13.4,940
AZ,Mohave,4015951600,Yes,7103,8,565,1.2,87,0.5,13,1.8,129,1.7,118
AZ,Mohave,4015951700,Yes,5486,42.3,2319,7.7,420,2.6,55,11.6,634,7,386
AZ,Mohave,4015951800,Yes,3553,36,1279,8.9,314,4.8,64,10.2,363,5,176
AZ,Mohave,4015952700,Yes,3644,88.2,3214,11.3,410,3.2,47,20.1,732,18.1,659
AZ,Navajo,4017940100,No,3442,40.4,1390,22.8,747,15,130,19.2,662,1.4,48
AZ,Navajo,4017941000,No,3437,98.8,3397,44.8,1550,31.4,312,35.7,1229,10.2,349
AZ,Navajo,4017941100,No,2375,98.1,2330,42.7,967,17.6,118,35.8,851,6.9,163
AZ,Navajo,4017942300,No,2711,99.8,2705,37.6,1023,22.2,161,40.6,1100,7.6,205
AZ,Navajo,4017942400,No,2766,63.8,1764,35.1,963,17.3,128,26.3,727,5.5,153
AZ,Navajo,4017944400,No,8074,59.8,4830,32.5,2630,19.2,392,25.5,2057,4.6,368
AZ,Navajo,4017944500,No,458,85.4,391,34.5,150,14.1,17,31,142,9.1,42
AZ,Navajo,4017944700,No,6814,99,6743,45.6,3062,23.6,407,40.1,2736,8.8,602
AZ,Navajo,4017944800,No,1065,100,1065,48.1,530,28.6,84,42.9,457,9.6,102
AZ,Navajo,4017960500,No,3871,22.7,879,6.6,162,2.3,19,9.1,354,2.3,89
AZ,Pima,4019000400,Yes,3229,55.4,1790,19.7,615,9.9,175,6.4,206,2.9,93
AZ,Pima,4019001000,Yes,686,42.8,293,14.2,96,12.8,33,14.6,100,6.7,46
AZ,Pima,4019002100,Yes,6629,67.6,4479,22.9,1507,6.7,120,24.3,1608,4.5,300
AZ,Pima,4019002501,Yes,5627,28.6,1610,4.6,193,1.9,24,3.4,191,1.7,93
AZ,Pima,4019002503,Yes,3975,36.1,1437,10.4,409,4,60,10.9,435,4.3,171
AZ,Pima,4019002801,Yes,2583,100,2583,31.6,816,16.9,219,21.3,550,8.6,222
AZ,Pima,4019002802,Yes,4140,53.6,2217,15,628,4.2,81,12.9,534,2.3,94
AZ,Pima,4019003600,Yes,6898,38.2,2638,4.6,288,0.8,14,15.1,1038,0.1,7
AZ,Pima,4019003702,Yes,6880,84.4,5807,34.4,2340,20.5,405,32.6,2245,4.9,338
AZ,Pima,4019003705,Yes,5441,17.6,957,2.7,144,1.1,17,6.6,361,0.8,46
